State,Year,Quarter,district,registeredUsers
andhra-pradesh,2021,2,chittoor ,1870723
andhra-pradesh,2021,3,east godavari ,2150622
andhra-pradesh,2021,3,srikakulam ,902008
andhra-pradesh,2021,3,visakhapatnam ,2707931
andhra-pradesh,2021,3,prakasam ,1239147
andhra-pradesh,2021,3,anantapur ,1606735
andhra-pradesh,2021,3,kurnool ,1522196
andhra-pradesh,2021,3,guntur ,2110878
andhra-pradesh,2021,3,krishna ,2145423
andhra-pradesh,2021,3,spsr nellore ,1263550
andhra-pradesh,2021,3,vizianagaram ,784444
andhra-pradesh,2021,3,ysr ,1183377
andhra-pradesh,2021,3,west godavari ,1436576
andhra-pradesh,2021,3,chittoor ,2007011
andhra-pradesh,2021,4,east godavari ,2294347
andhra-pradesh,2021,4,srikakulam ,965335
andhra-pradesh,2021,4,visakhapatnam ,2888774
andhra-pradesh,2021,4,prakasam ,1325728
andhra-pradesh,2021,4,anantapur ,1719437
andhra-pradesh,2021,4,kurnool ,1628242
andhra-pradesh,2021,4,guntur ,2252443
andhra-pradesh,2021,4,krishna ,2288148
andhra-pradesh,2021,4,spsr nellore ,1349290
andhra-pradesh,2021,4,vizianagaram ,839606
andhra-pradesh,2021,4,ysr ,1262963
andhra-pradesh,2021,4,west godavari ,1532898
andhra-pradesh,2021,4,chittoor ,2141818
andhra-pradesh,2022,1,east godavari ,2432305
andhra-pradesh,2022,1,srikakulam ,1027283
andhra-pradesh,2022,1,visakhapatnam ,3061324
andhra-pradesh,2022,1,prakasam ,1408929
andhra-pradesh,2022,1,anantapur ,1827094
andhra-pradesh,2022,1,kurnool ,1729513
andhra-pradesh,2022,1,guntur ,2387051
andhra-pradesh,2022,1,krishna ,2423373
andhra-pradesh,2022,1,spsr nellore ,1431664
andhra-pradesh,2022,1,vizianagaram ,892889
andhra-pradesh,2022,1,ysr ,1339782
andhra-pradesh,2022,1,west godavari ,1626039
andhra-pradesh,2022,1,chittoor ,2270705
andhra-pradesh,2022,2,east godavari ,2564165
andhra-pradesh,2022,2,srikakulam ,1086164
andhra-pradesh,2022,2,visakhapatnam ,3226029
andhra-pradesh,2022,2,prakasam ,1487589
andhra-pradesh,2022,2,anantapur ,1928213
andhra-pradesh,2022,2,kurnool ,1825280
andhra-pradesh,2022,2,guntur ,2514794
andhra-pradesh,2022,2,krishna ,2552107
andhra-pradesh,2022,2,spsr nellore ,1509927
andhra-pradesh,2022,2,vizianagaram ,943242
andhra-pradesh,2022,2,ysr ,1412848
andhra-pradesh,2022,2,west godavari ,1714357
andhra-pradesh,2022,2,chittoor ,2392549
andhra-pradesh,2022,3,east godavari ,2702234
andhra-pradesh,2022,3,srikakulam ,1147016
